q1,q2,q3,q4,q5,q6,q7,x,y,z
31,27,-167,-1,-46,-1,50,0.141,-0.829,0.129
-66,-99,39,82,27,-60,80,-0.687,-0.071,0.279
-1,-117,46,144,-22,89,124,-0.506,-0.677,0.102
-48,-109,-96,87,159,-67,32,0.486,-0.335,0.198
-41,23,29,10,-43,-65,-137,0.278,0.086,-0.185
-111,10,-154,115,36,-49,-159,0.192,0.151,-0.491
-138,-12,171,145,19,104,23,0.557,0.065,0.67
-106,-68,163,127,-20,67,143,0.734,0.33,0.354
44,51,-33,20,-148,15,130,0.425,-0.43,0.607
29,-15,-50,95,144,-4,50,0.004,0.621,0.376
-99,-95,-49,122,-167,95,-128,-0.467,0.29,0.56
-19,-59,140,19,81,80,-165,-0.411,-0.619,0.016
23,50,51,-3,-77,-51,-9,-0.41,-0.193,0.221
-133,-60,0,-1,146,100,101,-0.316,-0.857,0.098
-17,46,-140,96,116,44,104,0.361,0.468,0.882
-97,-115,82,37,165,-86,-29,0.402,0.481,-0.022
6,17,-61,12,-53,41,-51,-0.365,-0.363,0.23
-3,57,38,67,103,67,-139,-0.003,0.138,0.84
-35,27,87,111,170,35,78,-0.304,0.416,0.562
48,17,-13,126,-116,-52,89,0.244,0.594,0.641
-34,59,-9,115,-122,97,-9,-0.624,0.041,0.419
-28,-103,-56,54,67,76,-90,-0.116,0.363,0.701
40,-91,-117,19,86,95,137,0.579,0.38,-0.407
17,-15,102,104,-53,10,-83,-0.081,-0.014,0.317
-131,-106,-122,94,-41,-3,171,0.483,0.163,0.692
-33,59,-16,32,78,-70,34,-0.265,-0.913,-0.004
-76,-115,-83,28,-46,-4,16,-0.308,-0.462,0.344
-110,17,-88,17,29,-44,111,-0.017,0.635,-0.004
-11,58,156,35,-158,-78,98,0.246,0.077,0.534
21,-121,91,35,-63,83,-120,-0.062,-0.491,0.472
-74,28,60,35,-141,-48,-27,-0.027,0.324,0.187
12,-29,-93,4,-69,56,44,-0.456,-0.233,0.293
-44,-52,-84,139,-151,-70,126,-0.634,-0.667,0.252
7,-70,105,61,38,49,72,-0.455,-0.191,0.151
-138,-100,3,5,40,34,55,0.448,-0.163,0.589
-119,18,-57,119,114,-56,20,-0.579,-0.265,0.96
22,33,88,138,105,39,2,-0.695,0.462,0.647
-33,-116,-6,89,81,3,133,-0.554,0.193,0.065
-20,-1,134,8,-161,-21,-148,0.27,0.279,0.38
-9,-37,-101,82,151,42,-151,-0.409,0.004,0.955
-50,-33,-48,67,144,-1,-119,-0.06,0.199,0.68
-35,-67,-50,56,-84,-82,-18,-0.581,0.849,0.245
-140,40,-5,112,74,-76,-153,-0.787,-0.26,0.443
-45,-26,134,6,86,96,71,-0.164,0.11,0.978
-38,-15,-31,32,-63,44,140,-0.899,-0.205,0.037
-50,27,-24,12,154,-9,-79,0.681,0.016,0.393
-126,34,-119,118,-100,78,-41,0.184,-0.649,0.016
-64,-114,54,73,-121,-6,-95,0.349,0.447,0.268
-108,-40,44,32,-128,15,117,-0.57,0.218,-0.021
0,21,118,61,-66,80,-93,0.643,-0.019,-0.026
23,-44,56,111,-72,12,63,0.267,0.427,0.561
-52,-109,-31,132,-164,47,-92,-0.419,0.388,0.285
-37,54,-156,79,-59,-79,81,-0.159,-0.089,0.292
-98,-11,135,106,-118,-68,66,-0.233,0.886,0.283
4,-111,-63,94,-129,-34,131,-0.6,-0.182,-0.097
19,33,57,83,172,43,134,0.523,-0.449,-0.186
-117,38,-109,145,36,-69,66,0.104,0.195,1.264
-35,-119,43,92,-67,-43,-44,0.149,-0.312,0.406
-62,-99,125,23,10,36,-120,0.066,0.422,0.536
-21,-88,115,87,-159,-14,116,-0.352,0.191,0.884
-109,-86,13,96,-117,96,86,-0.309,-0.136,-0.315
-118,-6,-27,63,166,46,-112,0.216,0.44,0.899
35,38,-56,35,-20,-69,-138,-0.341,0.446,0.305
22,-47,60,18,-56,44,89,0.351,0.551,-0.344
-138,57,91,15,110,-90,88,-0.067,0.21,0.304
1,53,-83,132,120,94,50,0.919,-0.078,-0.214
40,-14,139,135,49,73,-76,-0.1,-0.186,0.572
-139,-60,122,131,-93,70,73,-0.561,-0.592,-0.032
33,13,-26,98,-35,105,105,-0.2,-0.126,0.694
45,-93,-6,122,-91,-11,-172,0.5,0.159,-0.087
-75,52,144,149,160,98,-33,0.518,0.251,0.371
-93,-43,-24,10,89,82,-54,0.502,-0.102,0.187
-90,-92,-125,103,47,32,-97,-0.177,0.335,-0.255
26,-73,-8,6,-122,-13,-21,0.944,0.029,-0.161
-79,34,169,11,-61,-77,42,-0.375,0.716,0.149
14,17,21,76,-32,-59,-91,0.259,-0.597,0.287
-31,-104,125,12,-175,-23,119,0.36,-0.509,-0.214
41,9,-95,126,7,57,170,-0.253,0.874,-0.166
49,-21,91,53,19,-54,-96,-0.04,0.328,0.052
-22,29,53,145,-9,40,-143,0.304,0.594,0.053
-56,3,-129,60,91,90,71,0.092,0.231,0.14
34,-91,172,64,45,0,172,-0.124,0.365,-0.606
-81,-47,107,145,141,-50,65,0.21,-0.763,-0.332
-109,6,131,80,-157,-68,-83,0.421,0.29,0.808
